行政區,場所名稱,場所地址,管理單位,連絡電話,場所開放時間,飲水台數,設置地點,緯度,經度
士林,臺北市立士林運動中心,臺北市士林區士商路1號,臺北市立士林運動中心,02-28806066,06:00~22:00,4,,25.089668,121.521411
士林,臺北市立圖書館天母分館,臺北市士林區中山北路七段154巷6號3樓,臺北市立圖書館天母分館,02-28736203,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,,25.123345,121.533007
士林,臺北市立圖書館葫蘆堵分館,臺北市士林區延平北路5段136巷1號,臺北市立圖書館葫蘆堵分館,02-28126513,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,6,,25.082222,121.510899
士林,臺北市立聯合醫院陽明院區,臺北市士林區雨聲街105號,臺北市立聯合醫院陽明院區,02-28353456,00:00~24:00,47,,25.105333,121.531762
士林,臺北市立圖書館士林分館,臺北市士林區華聲街17號3樓,臺北市立圖書館士林分館,02-28361994,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,,25.096278,121.522253
士林,士林園藝所,臺北市士林區福林路60號,工務局公園處園藝管理所,02-28812912,週一至週五：08:00~17:00；周六、周日及假日：08:00~19:00；六月至八月每日：08:00~19:00，全年無休。,2,公園入口處、辦公室旁,25.09443,121.5301
士林,劍潭站,臺北市士林區中山北路5段65號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,3,1號出口、2號出口,25.085144,121.525154
士林,天母公園,臺北市士林區中山北路7段181巷,工務局公園處陽明山管理所,02-28616535,00:00~24:00,1,籃球場旁,25.125628,121.530515
士林,美崙公園,臺北市士林區美崙街153巷(臺北市立天文台天文科學館旁),工務局公園處陽明山管理所,02-28616533,00:00~24:00,1,網球場旁,25.097599,121.518898
士林,芝山站,臺北市士林區福國路70號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,1號出口,25.102112,121.522608
士林,士林站,臺北市士林區福德路1號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,2,1號出口、2號出口,25.094093,121.525974
大同,臺北市立大同運動中心,臺北市大同區大龍街51號,臺北市立大同運動中心,02-25920055,06:00~22:00,5,,25.065281,121.516175
