Administrative area,Place Name,Accommodation address,Management Unit,Telephone,Place Opening Hours,"
Drinking Fountains Quantity",Latitude,Longitude
Shilin,Shilin MRT station,"No. 1, Fude Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,2,25.094093,121.525974
Shilin,Shilin Horticulture Management Division,"No.60, Fulin Rd., Shilin Dist., Taipei City ","Horticulture Management Division, Public Works Department",02-28812912,Monday～Friday：08:00~17:00；Saturday 、Sunday and Holiday：08:00~19:00；June-August Daily：08:00~19:00，Open All Year Round。,2,25.09443,121.5301
Shilin,Tianmu Park,"Ln. 181, Sec. 7, Zhongshan N. Rd., Shilin Dist., Taipei City","Yangmingshan Park Management Division, Public Works Department",02-28616535,00:00~24:00,1,25.125628,121.530515
Shilin,Taipei Children's Amusement Park,"No.55, Sec. 5, Chengde Rd., Shilin Dist., Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.096229,121.514607
Shilin,Zhishan MRT station,"No. 70, Fuguo Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.102112,121.522608
Shilin,Floriculture Experiment Park,"Taipei City Shilin Dist. intersection of  Ln. 175, Sec. 4, Yangde Blvd. and Gezhi Rd. (Floriculture Experiment Center)","Floriculture Experiment Center, Public Works Department",02-28612247,00:00~24:00,1,25.134956,121.544435
Shilin,Meilun Park,"Ln. 153, Meilun St., Shilin Dist., Taipei City (Beside Taipei Astronomical Museum)","Yangmingshan Park Management Division, Public Works Department",02-28616533,00:00~24:00,1,25.097599,121.518898
Shilin,Taipei Shilin Sports center,"No.1, Shishang Rd.",Taipei Shilin Sports center,02-28806066,06:00~22:00,4,25.089668,121.521411
Shilin,Taipei Shilin Branch Library,"3F, No. 17, Huasheng St.",Taipei Shilin Branch Library,02-28361994,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,2,25.096278,121.522253
Shilin,Taipei Tianmu Branch Library,"3F, No.6, Lane154, Sec.7, Zhongshan N. Rd.",Taipei Tianmu Branch Library,02-28736203,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,2,25.123345,121.533007
Shilin,Taipei Huludu Branch Library,"No.1, Lane 136, Sec. 5, Yanping N. Rd.",Taipei Huludu Branch Library,02-28126513,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,6,25.082222,121.510899
Shilin,Taipei City Hospital Yangming Branch,"No.105, Yusheng St., Shilin Dist., Taipei City",Taipei City Hospital Yangming Branch,02-28353456,00:00~24:00,47,25.105333,121.531762
Shilin,Jiantan MRT station,"No. 65, Sec. 5, Zhongshan N. Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,3,25.085144,121.525154
Datong,Daqiaotou MRT station,"B1, No. 223, Minquan W. Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,2,25.063195,121.512619
Datong,Beimen MRT station,"No. 10, Tacheng St.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,2,25.049408,121.510256
Datong,Yongle Market,"No.21, Sec. 1, Dihua St., Datong Dist., Taipei City","Horticultural Engineering Team, Public Works Department",02-23815132,00:00~24:00,1,25.05589,121.51001
Datong,Yuanshan MRT station,"No. 9-1, Jiuquan St.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.070823,121.520082
Datong, Ningxia Night Market,"Ningxia Rd., Datong Dist., Taipei City",Xingming Village Office,933898059,00:00~24:00,1,25.057021,121.515565
Datong,Taipei Datong Sports Center,"No. 51, Dalong St.",Taipei Datong Sports Center,02-25920055,06:00~22:00,5,25.065281,121.516175
Datong,Taipei Datong Branch Library,"No. 318, Sec. 3, Chongqing N. Rd.",Taipei Datong Branch Library,02-2954-3236,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,2,25.074304,121.513555
Datong,Taipei Yanping Branch Library,"No. 47, Baoan St.",Taipei Yanping Branch Library,02-25981387,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,5,25.059169,121.512092
Datong,Taipei Jiancheng Branch Library,"4F, No. 198-20, Minsheng W. Rd.",Taipei Jiancheng Branch Library,02-25582320,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,1,25.057032,121.516825
Datong,Taipei Public Library Lanzhou Branch,"4F, No. 57, Changji St.",Taipei Public Library Lanzhou Branch,02-25981387,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,1,25.066061,121.515106
Datong,Taipei City Hospital Zhongxing Branch,"No.145, Zhengzhou Rd., Datong Dist., Taipei City",Taipei City Hospital Zhongxing Branch,02-25523234#3279,00:00~24:00,46,25.05097,121.509321
Datong,Guisuixiqu Park,"No.164-9, Guisui St., Datong Dist., Taipei City","Yuanshan Park Management Division, Public Works Department",02-25850192,00:00~24:00,1,25.058144,121.51342
Daan,Liugonzun Park,Taipei City Daan Dist. Intersection of  Fuxing S. Rd. and Jianguo S. Rd.,"Youth Park Management Division, Public Works Department",02-23032451,00:00~24:00,1,25.042428,121.54531
Daan,Daan MRT station,"No. 2, Sec. 4, Xinyi Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.033164,121.544005
Daan,Daan MRT station(Xinyi),"No. 2, Sec. 4, Xinyi Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,2,25.033164,121.544005
Daan,Daan Park,"Sec. 2, Jianguo S. Rd., Daan Dist., Taipei City","Youth Park Management Division, Public Works Department",02-23032451,00:00~24:00,3,25.032738,121.536303
Daan,Daan Park MRT station,"B1, No. 100, Sec. 3, Xinyi Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,2,25.063067,121.552116
Daan,Liuzhangli MRT station,"No.168, Sec. 3, Heping E. Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.023878,121.552755
Daan,Yanji Park,"Ln. 131, Yanji St., Daan Dist., Taipei City","Youth Park Management Division, Public Works Department",02-23032451,00:00~24:00,1,25.042843,121.555809
Daan,Zhongxiao Fuxing MRT station,"No. 286, Sec. 3, Zhongxiao E. Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,2,25.041263,121.543247
Daan,Zhongxiao Dunhua MRT station,"No. 182, Sec. 4, Zhongxiao E. Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.041347,121.551494
Daan,Zhongxiao Xinsheng MRT station,"No. 67, Sec. 1, Xinsheng S. Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,3,25.042746,121.531944
Daan,Dongmen MRT station,"B1, No.166, Sec.2, Xinyi Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,2,25.034157,121.527972
Daan,Technology Building MRT station,"No.235, Sec. 2, Fuxing S. Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.026134,121.543472
Daan,Fuyang Park,"Wolong St., Daan Dist., Taipei City","Youth Park Management Division, Public Works Department",02-23032451,00:00~24:00,1,25.016597,121.557172
Daan,Wanfang Park No.7,"Beside No.36, Sec. 1, Wanmei St., Wenshan Dist., Taipei City","Nangang Park Management Division, Public Works Department",02-27884255,00:00~24:00,1,25.042428,121.54531
Daan,Taipei DaAn Sports Center,"55, Section 3, Xinhai Rd.",Taipei DaAn Sports Center,02-23770300,06:00~22:00,11,25.020777,121.545636
Daan,Taipei Daan Branch Library,"4F, No. 223, Sec. 3, Xinhai Rd.",Taipei Daan Branch Library,02-27325422,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,3,25.016022,121.550788
Daan,Taipei Public Library Chenggong Branch,"4F, No. 29, Lane 311, Sec. 2, Heping E. Rd.",Taipei Public Library Chenggong Branch,02-27013604,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,1,25.025435,121.545272
Daan,Taipei Public Library Yanji Branch,"3-4F, No. 17, Lane 236, Yanji St.",Taipei Public Library Yanji Branch,02-27081964,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,2,25.03613,121.555015
Daan,Taipei Daofan Branch Library,"3F, No. 11, Sec. 3, Xinhai Rd.",Taipei Daofan Branch Library,02-27334031,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,1,25.021577,121.544049
Daan,Taipei Public Library Longan Branch,"3F, No. 60, Yongkang St.",Taipei Public Library Longan Branch,02-23945485,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,2,25.028559,121.529601
Daan,Taipei  Main Public Library,"No. 125, Sec. 2, Jianguo S. Rd.",Taipei  Main Public Library,02-27552823,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,25,25.029152,121.538369
