description,operator,contact:phone,opening_hours,lat,lon,source,amenity
臺北市立士林運動中心飲水機,臺北市立士林運動中心,+886 02 28806066,06:00-22:00,25.089668,121.521411,data.taipei,drinking_water
臺北市立圖書館天母分館飲水機,臺北市立圖書館天母分館,+886 02 28736203,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.123345,121.533007,data.taipei,drinking_water
臺北市立圖書館葫蘆堵分館飲水機,臺北市立圖書館葫蘆堵分館,+886 02 28126513,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.082222,121.510899,data.taipei,drinking_water
臺北市立聯合醫院陽明院區飲水機,臺北市立聯合醫院陽明院區,+886 02 28353456,00:00-24:00,25.105333,121.531762,data.taipei,drinking_water
臺北市立圖書館士林分館飲水機,臺北市立圖書館士林分館,+886 02 28361994,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.096278,121.522253,data.taipei,drinking_water
士林園藝所飲水機,工務局公園處園藝管理所,+886 02 28812912,Mo-Fr 08:00-17:00; Sa-Su 08:00-19:00; PH 08:00-19:00; Jun-Aug 08:00-19:00,25.09443,121.5301,data.taipei,drinking_water
劍潭站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.085144,121.525154,data.taipei,drinking_water
天母公園飲水機,工務局公園處陽明山管理所,+886 02 28616535,00:00-24:00,25.125628,121.530515,data.taipei,drinking_water
美崙公園飲水機,工務局公園處陽明山管理所,+886 02 28616533,00:00-24:00,25.097599,121.518898,data.taipei,drinking_water
芝山站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.102112,121.522608,data.taipei,drinking_water
士林站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.094093,121.525974,data.taipei,drinking_water
臺北市立大同運動中心飲水機,臺北市立大同運動中心,+886 02 25920055,06:00-22:00,25.065281,121.516175,data.taipei,drinking_water
臺北市立圖書館建成分館飲水機,臺北市立圖書館建成分館,+886 02 25582320,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.057032,121.516825,data.taipei,drinking_water
臺北市立圖書館蘭州民眾閱覽室飲水機,臺北市立圖書館蘭州民眾閱覽室,+886 02 25981387,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.066061,121.515106,data.taipei,drinking_water
臺北市立圖書館延平分館飲水機,臺北市立圖書館延平分館,+886 02 25981387,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.059169,121.512092,data.taipei,drinking_water
永樂市場飲水機,工務局公園處園藝工程隊,+886 02 23815132,00:00-24:00,25.05589,121.51001,data.taipei,drinking_water
臺北市立圖書館大同分館飲水機,臺北市立圖書館大同分館,+886 02 2954 3236,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.074304,121.513555,data.taipei,drinking_water
臺北市立聯合醫院中興院區飲水機,臺北市立聯合醫院中興院區,+886 02 25523234#3279,00:00-24:00,25.05097,121.509321,data.taipei,drinking_water
大橋頭站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.063195,121.512619,data.taipei,drinking_water
圓山站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.070823,121.520082,data.taipei,drinking_water
北門站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.049408,121.510256,data.taipei,drinking_water
臺北市立聯合醫院仁愛院區飲水機,臺北市立聯合醫院仁愛院區,+886 02 27093600,00:00-24:00,25.037512,121.545224,data.taipei,drinking_water
臺北市立圖書館龍安民眾閱覽室飲水機,臺北市立圖書館龍安民眾閱覽室,+886 02 23945485,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.028559,121.529601,data.taipei,drinking_water
臺北市立大安運動中心飲水機,臺北市立大安運動中心,+886 02 23770300,06:00-22:00,25.020777,121.545636,data.taipei,drinking_water
臺北市立圖書館道藩分館飲水機,臺北市立圖書館道藩分館,+886 02 27334031,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.021577,121.544049,data.taipei,drinking_water
臺北市立圖書館大安分館飲水機,臺北市立圖書館大安分館,+886 02 27325422,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.016022,121.550788,data.taipei,drinking_water
臺北市立圖書館成功民眾閱覽室飲水機,臺北市立圖書館成功民眾閱覽室,+886 02 27013604,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.025435,121.545272,data.taipei,drinking_water
臺北市立圖書館延吉民眾閱覽室飲水機,臺北市立圖書館延吉民眾閱覽室,+886 02 27081964,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.03613,121.555015,data.taipei,drinking_water
臺北市立圖書館總館飲水機,臺北市立圖書館總館,+886 02 27552823,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.029152,121.538369,data.taipei,drinking_water
六張犁站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.023878,121.552755,data.taipei,drinking_water
麟光站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.01864,121.5586,data.taipei,drinking_water
忠孝復興站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.041263,121.543247,data.taipei,drinking_water
忠孝敦化站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.041347,121.551494,data.taipei,drinking_water
