縣市,字號,"執照類別 ",狀態,機構名稱,負責獸醫,發照日期,機構地址
雲林縣,雲診字第93號,獸醫師,開業,和牧動物醫院,周應欽,2015/07/08,雲林縣虎尾鎮光復路454號
花蓮縣,府農漁開字第38號,獸醫師,開業,高橋貓友善動物醫院,李孟達,2015/07/01,花蓮市中正路136號
台北市,北市獸業字第492號,獸醫師,開業,寶寶新動物醫院,林郁尊,2015/06/25,台北市汀州路二段125號1樓
高雄市,高市獸師開字第306號,獸醫師,開業,恩澤動物醫院,王亭越,2015/06/17,高雄市苓雅區武廟路160之2號
金門縣,(104)疫政字第2號,獸醫師,開業,金門同伴動物醫院,徐曉萍,2015/05/26,金門縣金城鎮歐厝村63號
台中市,中市獸醫開字第293號,獸醫師,開業,劍橋動物醫院北屯分院,鄭代乾,2015/05/15,臺中市北屯區文心路四段806號
桃園市,桃獸師開執字第254號,獸醫師,開業,晨曦動物醫院龍安分院,王世儁,2015/05/15,桃園市桃園區龍安街109號
嘉義市,嘉市獸開字第91號,獸醫師,開業,珍愛動物醫院,蕭協其,2015/05/13,嘉義市東區吳鳳南路311號
桃園市,桃獸師開執字第253號,獸醫師,開業,呈品動物醫院,曾麗蓉,2015/05/04,桃園市中壢區中豐路359號
台中市,中市獸醫開字第292號,獸醫師,開業,全國動物醫院市政分院,杜政運,2015/04/30,臺中市西屯區何安里文心路三段46號
桃園市,桃獸師開執字第252號,獸醫師,開業,元氣動物醫院藝文分院,沈建璋,2015/04/27,桃園市桃園區莊敬路一段156號
新北市,新北獸醫業字第348號,獸醫師,開業,南勢角動物醫院,謝易軒,2015/04/21,新北市中和區捷運路20號1樓
南投縣,投府農畜師開字第32號,獸醫師,開業,龍貓動物醫院,邱魏豪鵬,2015/04/18,南投縣草屯鎮中興路271號
台北市,北市獸業字第490號,獸醫師,開業,天母太僕動物醫院,胡譽嚴,2015/04/17,臺北市士林區天母西路48號1樓
台北市,北市獸業字第491號,獸醫師,開業,南京太僕動物醫院,曾鴻章,2015/04/17,臺北市南京東路5段286號
台北市,北市獸業字第489號,獸醫師,開業,遠見動物眼科醫院,郭廣慈,2015/04/08,臺北市大安區和平東路2段68號1樓
台北市,北市獸業字第488號,獸醫師,開業,樂沛動物醫院,蔡金龍,2015/04/02,台北市內湖區成功路4段368號1樓2樓
高雄市,高市獸師開字第305號,獸醫師,開業,一嘉動物醫院,莊嘉泰,2015/03/31,高雄市苓雅區興中一路383號
南投縣,投府農畜師開字第31號,獸醫師,開業,永佳家畜診所,林佳蓉,2015/03/28,南投縣埔里鎮東華路91-1號
台中市,中市獸醫開字第291號,獸醫師,開業,全國動物醫院大里分院,林源盛,2015/03/25,臺中市大里區國光路二段441號
高雄市,高市獸師開字第304號,獸醫師,開業,卡布動物醫院,林時民,2015/03/19,高雄市三民區大昌一路289號
台南市,南市獸開字第152號,獸醫師,開業,大愛動物醫院,江明德,2015/03/11,臺南市北區和緯路二段516號
台北市,北市獸業字第487號,獸醫師,開業,劍橋動物醫院石牌芸林分院,彭寶瑩,2015/03/10,臺北市北投區石牌路2段332-1號1樓
台中市,中市獸醫開字第290號,獸醫師,開業,陽光動物醫院,邱馨萱,2015/03/09,臺中市西區中華路一段3-5號1-3樓
新北市,新北獸醫業字第347號,獸醫師,開業,聖地牙哥動物醫院,李錚,2015/03/06,新北市永和區永和路2段285號
台北市,北市獸業字第486號,獸醫師,開業,康新動物醫院,賴欣妤,2015/03/03,臺北市大安區文昌街89號1樓
屏東縣,屏獸開字第113號,獸醫師,開業,國太動物醫院,林子昇,2015/02/26,屏東縣潮州鎮永昌路47巷3號
台東縣,東府獸師開字第19號,獸醫師,開業,佳誼動物診所,蘇耿誼,2015/02/24,臺東縣臺東市正氣北路141巷11號
高雄市,高市獸師開字第302號,獸醫師,開業,品安動物醫院,高祥益,2015/02/09,高雄市三民區大昌二路448號
高雄市,高市獸師開字第301號,獸醫師,開業,永安動物醫院,劉晉汏,2015/02/05,高雄市鳳山區建國路3段16號
台中市,中市獸醫開字第289號,獸醫師,開業,威爾斯寵物村動物醫院,祝偉鈞,2015/02/04,臺中市北區中清路一段581號
台中市,中市獸醫開字第288號,獸醫師,開業,布萊梅動物醫院,陳韻安,2015/02/04,臺中市大甲區育英路174-1號
新北市,新北獸醫業字第346號,獸醫師,開業,欣欣動物醫院,甘騰凱,2015/02/03,新北市蘆洲區中山一路160號
台中市,中市獸醫開字第287號,獸醫師,開業,狗脾氣動物醫院,成玥禛,2015/01/30,臺中市清水區五權東路11號
新北市,新北獸醫業字第345號,獸醫師,開業,鷺江動物醫院,陳育仁,2015/01/29,新北市蘆洲區中正路209號
